Stimulus;Model;Vertex_Nb;Texture_Size;Graphic_lpips;Pseudo_MOS
screenshot_eclaire_350 (2)_1024;eclaire;350;1024;0.514357090909091;2.94257163636364
screenshot_eclaire_350 (3)_2048;eclaire;350;2048;0.512610787878788;2.94955684848485
screenshot_eclaire_1820_256;eclaire;1820;256;0.497982090909091;3.00807163636364
screenshot_eclaire_2186_256;eclaire;2186;256;0.485918151515151;3.05632739393939
screenshot_eclaire_420 (1)_512;eclaire;420;512;0.474872878787879;3.10050848484848
screenshot_eclaire_2624_256;eclaire;2624;256;0.467705393939394;3.12917842424242
screenshot_eclaire_3150_256;eclaire;3150;256;0.465065818181818;3.13973672727273
screenshot_eclaire_3782_256;eclaire;3782;256;0.458148848484848;3.16740460606061
screenshot_eclaire_4540_256;eclaire;4540;256;0.446708272727273;3.21316690909091
screenshot_eclaire_6540_256;eclaire;6540;256;0.441159818181818;3.23536072727273
screenshot_eclaire_5450_256;eclaire;5450;256;0.440342878787879;3.23862848484848
screenshot_eclaire_504 (1)_512;eclaire;504;512;0.439499363636364;3.24200254545455
screenshot_eclaire_7848_256;eclaire;7848;256;0.435167242424242;3.25933103030303
screenshot_eclaire_9418_256;eclaire;9418;256;0.434646424242424;3.2614143030303
screenshot_eclaire_13564_256;eclaire;13564;256;0.433159818181818;3.26736072727273
screenshot_eclaire_11302_256;eclaire;11302;256;0.431233303030303;3.27506678787879
screenshot_eclaire_16278_256;eclaire;16278;256;0.429740090909091;3.28103963636364
screenshot_eclaire_19534_256;eclaire;19534;256;0.428283666666667;3.28686533333333
screenshot_eclaire_23442_256;eclaire;23442;256;0.427970666666667;3.28811733333333
screenshot_eclaire_28132_256;eclaire;28132;256;0.425636151515151;3.29745539393939
